date,venue_name,race_no,start_time,closed_at,url,players,class_category,grade
20250608,別府,8R,18:32,18:27,https://keirin.netkeiba.com/race/entry/?race_id=202506088608,1久米康平 2柴田洋輔 3佐藤友和 4関貴之 5内山雅貴 6中島詩音 7佐々木豪 8小島歩 9酒井雄多,Ｓ級 特選,GIII
20250608,別府,9R,19:00,18:55,https://keirin.netkeiba.com/race/entry/?race_id=202506088609,1大西貴晃 2山崎将幸 3川口雄太 4木村佑来 5稲吉悠大 6谷口力也 7小原丈一郎 8河崎正晴 9橋本智昭,Ａ級 A級ファイナル,GIII
20250608,別府,10R,19:30,19:25,https://keirin.netkeiba.com/race/entry/?race_id=202506088610,1菅田壱道 2坂井洋 3東矢圭吾 4渡邉豪大 5諸橋愛 6高原仁志 7一丸尚伍 8小林弘和 9竹内智彦,Ｓ級 特秀,GIII
20250608,別府,11R,20:00,19:55,https://keirin.netkeiba.com/race/entry/?race_id=202506088611,1小岩大介 2松谷秀幸 3皿屋豊 4松永将 5山崎賢人 6格清洋介 7隅田洋介 8牧剛央 9中川貴徳,Ｓ級 特秀,GIII
20250608,別府,12R,20:30,20:25,https://keirin.netkeiba.com/race/entry/?race_id=202506088612,1新山響平 2岩本俊介 3村田雅一 4村上博幸 5守澤太志 6瀬戸晋作 7寺崎浩平 8阿部将大 9深谷知広,Ｓ級 決勝,GIII
20250608,函館,1R,20:40,20:35,https://keirin.netkeiba.com/race/entry/?race_id=202506081101,1梶山大輔 2小林高志 3永山英司 4角口聖也 5安藤雄一 6田典幸,Ａ級 チャレンジ一般,FII
20250608,函館,2R,21:00,20:55,https://keirin.netkeiba.com/race/entry/?race_id=202506081102,1佐藤裕輝 2明星晴道 3藤原義晴 4松木竜也 5志村正洋 6鈴木龍之介,Ａ級 チャレンジ一般,FII
20250608,函館,3R,21:20,21:15,https://keirin.netkeiba.com/race/entry/?race_id=202506081103,1角宗哉 2山口幸太郎 3藤野竜也 4邊見祐太 5青木亮太 6大澤哉太 7玉木英典,Ａ級 チャレンジ準決勝,FII
20250608,函館,4R,21:40,21:35,https://keirin.netkeiba.com/race/entry/?race_id=202506081104,1藤田祐大 2福田健太 3望月裕一郎 4堀勝政 5町田勝志 6田崎良太郎 7塚本諭,Ａ級 チャレンジ準決勝,FII
20250608,函館,5R,22:00,21:55,https://keirin.netkeiba.com/race/entry/?race_id=202506081105,1郡英治 2安藤宜明 3深澤伸介 4川口秀人 5大沼孝行 6伊藤一貴 7森佑樹,Ａ級 特一般,FII
20250608,函館,6R,22:20,22:15,https://keirin.netkeiba.com/race/entry/?race_id=202506081106,1池田伍功羽 2山信田学 3大越啓介 4荻野哲 5伊藤彰規 6南部亮太 7鈴木康平,Ａ級 特一般,FII
