date,venue_name,race_no,start_time,closed_at,url,players,class_category,grade
20250607,大垣,1R,10:45,10:40,https://keirin.netkeiba.com/race/entry/?race_id=202506074401,1戸田康平 2坂本毅 3山田武 4北川紋部 5山田祐太 6高木隆弘 7阿部弘,Ａ級 一般,FI
20250607,大垣,2R,11:11,11:06,https://keirin.netkeiba.com/race/entry/?race_id=202506074402,1四宮哲郎 2増田利明 3竹内真一 4光畑政志 5本村隆文 6大竹哲也 7鮫島康治,Ａ級 一般,FI
20250607,大垣,3R,11:37,11:32,https://keirin.netkeiba.com/race/entry/?race_id=202506074403,1児玉虎之介 2石川航大 3岡部芳幸 4西村豊 5紫原政文 6小浦凪 7深瀬泰我,Ａ級 準決勝,FI
20250607,大垣,4R,12:03,11:58,https://keirin.netkeiba.com/race/entry/?race_id=202506074404,1石坂永伍 2荒川達郎 3常次勇人 4三木健正 5三谷政史 6木村浩宣 7永井哉多,Ａ級 準決勝,FI
20250607,大垣,5R,12:30,12:25,https://keirin.netkeiba.com/race/entry/?race_id=202506074405,1田口勇介 2矢部駿人 3高木竜司 4佐山俊樹 5伊原弘幸 6井上剛 7堀川敬太郎,Ａ級 準決勝,FI
20250607,大垣,6R,12:58,12:53,https://keirin.netkeiba.com/race/entry/?race_id=202506074406,1佐川翔吾 2長田龍拳 3吉田健市 4山本健也 5末廣快理 6矢島一弥,Ｓ級 一般,FI
20250607,大垣,7R,13:26,13:21,https://keirin.netkeiba.com/race/entry/?race_id=202506074407,1中山拓人 2児玉慎一郎 3小堺浩二 4重倉高史 5高橋広大 6堀僚介 7伊藤奎,Ｓ級 一般,FI
20250607,大垣,8R,13:55,13:50,https://keirin.netkeiba.com/race/entry/?race_id=202506074408,1伊藤正樹 2鷲田佳史 3金成和幸 4三浦貴大 5伊代野貴照 6佐々木省司 7徳田匠,Ｓ級 選抜,FI
20250607,大垣,9R,14:25,14:20,https://keirin.netkeiba.com/race/entry/?race_id=202506074409,1西田大志 2志村龍己 3高橋和也 4山内卓也 5古屋琢晶 6伊藤世哉 7山口貴嗣,Ｓ級 選抜,FI
20250607,大垣,10R,14:55,14:50,https://keirin.netkeiba.com/race/entry/?race_id=202506074410,1黒瀬浩太郎 2西村光太 3渡邉一成 4山田久徳 5宿口陽一 6不破将登 7久米良,Ｓ級 準決勝,FI
20250607,大垣,11R,15:25,15:20,https://keirin.netkeiba.com/race/entry/?race_id=202506074411,1佐々木龍 2田尾駿介 3松岡貴久 4北津留翼 5西田雅志 6外田心斗 7渡邉雅也,Ｓ級 準決勝,FI
20250607,大垣,12R,15:55,15:50,https://keirin.netkeiba.com/race/entry/?race_id=202506074412,1志田龍星 2佐々木雄一 3大川龍二 4松田治之 5山口富生 6佐藤幸治 7照井拓成,Ｓ級 準決勝,FI
